0	20	65535	35	30	65535	65535	65535	65535	65535	65535	65535
20	0	25	65535	65535	65535	65535	65535	65535	65535	65535	65535
65535	25	0	5	65535	22	65535	65535	60	65535	75	65535
35	65535	5	0	65535	20	65535	65535	40	65535	65535	65535
30	65535	65535	65535	0	25	20	30	65535	65535	65535	65535
65535	65535	22	20	25	65535	12	40	65535	65535	65535	65535
65535	65535	65535	65535	20	65535	0	65535	65535	40	65535	65535
65535	65535	65535	65535	30	12	65535	0	35	65535	65535	90
65535	65535	65535	65535	65535	40	65535	35	0	30	35	45
65535	65535	65535	65535	65535	65535	40	65535	30	0	10	20
65535	65535	65535	65535	65535	65535	65535	65535	35	10	0	15
65535	65535	65535	65535	65535	65535	65535	90	45	20	15	0
